PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
1;0;3;male;22,00000;1;0;7,25000;S
2;1;1;female;38,00000;1;0;71,28330;C
3;1;3;female;26,00000;0;0;7,92500;S
4;1;1;female;35,00000;1;0;53,10000;S
5;0;3;male;35,00000;0;0;8,05000;S
6;0;3;male;;0;0;8,45830;Q
7;0;1;male;54,00000;0;0;51,86250;S
8;0;3;male;2,00000;3;1;21,07500;S
9;1;3;female;27,00000;0;2;11,13330;S
10;1;2;female;14,00000;1;0;30,07080;C
11;1;3;female;4,00000;1;1;16,70000;S
12;1;1;female;58,00000;0;0;26,55000;S
13;0;3;male;20,00000;0;0;8,05000;S
14;0;3;male;39,00000;1;5;31,27500;S
15;0;3;female;14,00000;0;0;7,85420;S
16;1;2;female;55,00000;0;0;16,00000;S
17;0;3;male;2,00000;4;1;29,12500;Q
18;1;2;male;;0;0;13,00000;S
19;0;3;female;31,00000;1;0;18,00000;S
20;1;3;female;;0;0;7,22500;C
21;0;2;male;35,00000;0;0;26,00000;S
22;1;2;male;34,00000;0;0;13,00000;S
23;1;3;female;15,00000;0;0;8,02920;Q
24;1;1;male;28,00000;0;0;35,50000;S
25;0;3;female;8,00000;3;1;21,07500;S
26;1;3;female;38,00000;1;5;31,38750;S
27;0;3;male;;0;0;7,22500;C
28;0;1;male;19,00000;3;2;263,00000;S
29;1;3;female;;0;0;7,87920;Q
30;0;3;male;;0;0;7,89580;S
31;0;1;male;40,00000;0;0;27,72080;C
32;1;1;female;;1;0;146,52080;C
33;1;3;female;;0;0;7,75000;Q
34;0;2;male;66,00000;0;0;10,50000;S
35;0;1;male;28,00000;1;0;82,17080;C
36;0;1;male;42,00000;1;0;52,00000;S
37;1;3;male;;0;0;7,22920;C
38;0;3;male;21,00000;0;0;8,05000;S
39;0;3;female;18,00000;2;0;18,00000;S
40;1;3;female;14,00000;1;0;11,24170;C
41;0;3;female;40,00000;1;0;9,47500;S
42;0;2;female;27,00000;1;0;21,00000;S
43;0;3;male;;0;0;7,89580;C
44;1;2;female;3,00000;1;2;41,57920;C
45;1;3;female;19,00000;0;0;7,87920;Q
46;0;3;male;;0;0;8,05000;S
47;0;3;male;;1;0;15,50000;Q
48;1;3;female;;0;0;7,75000;Q
49;0;3;male;;2;0;21,67920;C
50;0;3;female;18,00000;1;0;17,80000;S
51;0;3;male;7,00000;4;1;39,68750;S
52;0;3;male;21,00000;0;0;7,80000;S
53;1;1;female;49,00000;1;0;76,72920;C
54;1;2;female;29,00000;1;0;26,00000;S
55;0;1;male;65,00000;0;1;61,97920;C
56;1;1;male;;0;0;35,50000;S
57;1;2;female;21,00000;0;0;10,50000;S
58;0;3;male;28,50000;0;0;7,22920;C
59;1;2;female;5,00000;1;2;27,75000;S
60;0;3;male;11,00000;5;2;46,90000;S
61;0;3;male;22,00000;0;0;7,22920;C
62;1;1;female;38,00000;0;0;80,00000;
63;0;1;male;45,00000;1;0;83,47500;S
64;0;3;male;4,00000;3;2;27,90000;S
65;0;1;male;;0;0;27,72080;C
66;1;3;male;;1;1;15,24580;C
67;1;2;female;29,00000;0;0;10,50000;S
68;0;3;male;19,00000;0;0;8,15830;S
69;1;3;female;17,00000;4;2;7,92500;S
70;0;3;male;26,00000;2;0;8,66250;S
71;0;2;male;32,00000;0;0;10,50000;S
72;0;3;female;16,00000;5;2;46,90000;S
73;0;2;male;21,00000;0;0;73,50000;S
74;0;3;male;26,00000;1;0;14,45420;C
75;1;3;male;32,00000;0;0;56,49580;S
76;0;3;male;25,00000;0;0;7,65000;S
77;0;3;male;;0;0;7,89580;S
78;0;3;male;;0;0;8,05000;S
79;1;2;male;0,83000;0;2;29,00000;S
80;1;3;female;30,00000;0;0;12,47500;S
81;0;3;male;22,00000;0;0;9,00000;S
82;1;3;male;29,00000;0;0;9,50000;S
83;1;3;female;;0;0;7,78750;Q
84;0;1;male;28,00000;0;0;47,10000;S
85;1;2;female;17,00000;0;0;10,50000;S
86;1;3;female;33,00000;3;0;15,85000;S
87;0;3;male;16,00000;1;3;34,37500;S
88;0;3;male;;0;0;8,05000;S
89;1;1;female;23,00000;3;2;263,00000;S
90;0;3;male;24,00000;0;0;8,05000;S
91;0;3;male;29,00000;0;0;8,05000;S
92;0;3;male;20,00000;0;0;7,85420;S
93;0;1;male;46,00000;1;0;61,17500;S
94;0;3;male;26,00000;1;2;20,57500;S
95;0;3;male;59,00000;0;0;7,25000;S
96;0;3;male;;0;0;8,05000;S
97;0;1;male;71,00000;0;0;34,65420;C
98;1;1;male;23,00000;0;1;63,35830;C
99;1;2;female;34,00000;0;1;23,00000;S
100;0;2;male;34,00000;1;0;26,00000;S
101;0;3;female;28,00000;0;0;7,89580;S
102;0;3;male;;0;0;7,89580;S
103;0;1;male;21,00000;0;1;77,28750;S
104;0;3;male;33,00000;0;0;8,65420;S
105;0;3;male;37,00000;2;0;7,92500;S
106;0;3;male;28,00000;0;0;7,89580;S
107;1;3;female;21,00000;0;0;7,65000;S
108;1;3;male;;0;0;7,77500;S
109;0;3;male;38,00000;0;0;7,89580;S
110;1;3;female;;1;0;24,15000;Q
111;0;1;male;47,00000;0;0;52,00000;S
112;0;3;female;14,50000;1;0;14,45420;C
113;0;3;male;22,00000;0;0;8,05000;S
114;0;3;female;20,00000;1;0;9,82500;S
115;0;3;female;17,00000;0;0;14,45830;C
116;0;3;male;21,00000;0;0;7,92500;S
117;0;3;male;70,50000;0;0;7,75000;Q
118;0;2;male;29,00000;1;0;21,00000;S
119;0;1;male;24,00000;0;1;247,52080;C
120;0;3;female;2,00000;4;2;31,27500;S
121;0;2;male;21,00000;2;0;73,50000;S
122;0;3;male;;0;0;8,05000;S
123;0;2;male;32,50000;1;0;30,07080;C
124;1;2;female;32,50000;0;0;13,00000;S
125;0;1;male;54,00000;0;1;77,28750;S
126;1;3;male;12,00000;1;0;11,24170;C
127;0;3;male;;0;0;7,75000;Q
128;1;3;male;24,00000;0;0;7,14170;S
129;1;3;female;;1;1;22,35830;C
130;0;3;male;45,00000;0;0;6,97500;S
131;0;3;male;33,00000;0;0;7,89580;C
132;0;3;male;20,00000;0;0;7,05000;S
133;0;3;female;47,00000;1;0;14,50000;S
134;1;2;female;29,00000;1;0;26,00000;S
135;0;2;male;25,00000;0;0;13,00000;S
136;0;2;male;23,00000;0;0;15,04580;C
137;1;1;female;19,00000;0;2;26,28330;S
138;0;1;male;37,00000;1;0;53,10000;S
139;0;3;male;16,00000;0;0;9,21670;S
140;0;1;male;24,00000;0;0;79,20000;C
141;0;3;female;;0;2;15,24580;C
142;1;3;female;22,00000;0;0;7,75000;S
143;1;3;female;24,00000;1;0;15,85000;S
144;0;3;male;19,00000;0;0;6,75000;Q
145;0;2;male;18,00000;0;0;11,50000;S
146;0;2;male;19,00000;1;1;36,75000;S
147;1;3;male;27,00000;0;0;7,79580;S
148;0;3;female;9,00000;2;2;34,37500;S
149;0;2;male;36,50000;0;2;26,00000;S
150;0;2;male;42,00000;0;0;13,00000;S
151;0;2;male;51,00000;0;0;12,52500;S
152;1;1;female;22,00000;1;0;66,60000;S
153;0;3;male;55,50000;0;0;8,05000;S
154;0;3;male;40,50000;0;2;14,50000;S
155;0;3;male;;0;0;7,31250;S
156;0;1;male;51,00000;0;1;61,37920;C
157;1;3;female;16,00000;0;0;7,73330;Q
158;0;3;male;30,00000;0;0;8,05000;S
159;0;3;male;;0;0;8,66250;S
160;0;3;male;;8;2;69,55000;S
161;0;3;male;44,00000;0;1;16,10000;S
162;1;2;female;40,00000;0;0;15,75000;S
163;0;3;male;26,00000;0;0;7,77500;S
164;0;3;male;17,00000;0;0;8,66250;S
165;0;3;male;1,00000;4;1;39,68750;S
166;1;3;male;9,00000;0;2;20,52500;S
167;1;1;female;;0;1;55,00000;S
168;0;3;female;45,00000;1;4;27,90000;S
169;0;1;male;;0;0;25,92500;S
